experiment,family,domain,method,lambda,alpha,alpha_std,kl,humaneval,medqa,mmlu,argmax_agreement
EXP-4,Llama,chat,spec_aware,0.5,0.35542378793163587,0.09016802161931992,0.5316015481948853,,,,
EXP-4,Llama,chat,spec_aware,1.0,0.4063286313381624,0.08968235552310944,0.4205859303474426,,,,
EXP-6,Qwen,code,loss_kl,0.01,0.5404694835680751,0.15848365426063538,,,,,
EXP-6,Qwen,code,loss_reverse_kl,0.01,0.5300092336103417,0.16110879182815552,,,,,
EXP-6,Qwen,code,loss_js,0.01,0.5508788598574822,0.15169893205165863,,,,,
EXP-6,Qwen,code,loss_tv,0.01,0.5468366383380547,0.1587960422039032,,,,,
EXP-6,Qwen,code,loss_token_match,0.01,0.5487422876127195,0.15005473792552948,,,,,
EXP-6,Llama,code,loss_kl,0.5,0.5881,,,,,,
EXP-6,Llama,code,loss_reverse_kl,0.5,0.5776,,,,,,
EXP-6,Llama,code,loss_tv,0.5,0.5583,,,,,,
EXP-6,Llama,code,loss_token_match,0.5,0.5509,,,,,,
EXP-6,Llama,code,loss_js,0.5,0.5505,,,,,,
Bench,Llama,code,base,0.0,,,,0.6159,0.6222,0.6831,
Bench,Llama,code,standard_ft,0.0,,,,0.5122,0.6339,0.6553,
Bench,Llama,code,spec_aware,0.5,,,,0.4512,0.6386,0.6427,
Bench,Llama,code,spec_aware,1.0,,,,0.4451,0.6222,0.6315,
Bench,Qwen,code,base,0.0,,,,0.6524,0.6206,0.7175,
Bench,Qwen,code,standard_ft,0.0,,,,0.5183,0.6622,0.7127,
Bench,Qwen,code,spec_aware,0.5,,,,0.5427,0.6253,0.6998,
Bench,Qwen,code,spec_aware,1.0,,,,0.5244,0.5774,0.6864,
Stress,Qwen,code,rank64_3ep_peak,0.0,0.4765,,0.8509,,,,
Stress,Qwen,code,rank64_3ep_final,0.0,0.4889,,0.8512,,,,
Argmax,Llama,code,base,,,,,,,,0.7699
Argmax,Llama,code,std_ft,,,,,,,,0.7576
Argmax,Llama,code,spec_aware,,,,,,,,0.7896
